week,letter,day,classes,room,lesson,notes,hwk,event,time,break,lunch
1,A,MON,11CS,G4,1,bank hol, ,briefing,0850  0955, , 
1,A,MON,10C3,B8,2,bank hol, , ,0955  1100, , 
1,A,MON,7X2.Ph,B6,3,bank hol, ,break duty,1100  1220,11:00, 
1,A,MON,8X1.Ph,B8,4,bank hol, , ,1220  1355, ,12:50
1,A,MON,11C2,B8,5,PD DAY,*, ,1355  1510, , 
1,A,TUE,10T2,B5,1,PD DAY, , ,0850  0955, , 
1,A,TUE,PPA,-,2,PD DAY, , ,0955  1100, , 
1,A,TUE,PPA,-,3,PD DAY, , ,1100  1220, , 
1,A,TUE,11T2,B8,4,PD DAY, , ,1220  1355, ,13:25
1,A,TUE,7X1.Ph,B8,5,PD DAY, , ,1355  1510, , 
1,A,WED,7Y1.Ph,B8,1,PD DAY, , ,0850  0955, , 
1,A,WED,11T2,B8,2,PD DAY, , ,0955  1100, , 
1,A,WED,PPA,B8,3,PD DAY, , ,1100  1220, , 
1,A,WED,10T2,B3,4,PD DAY, , ,1220  1355, ,12:50
1,A,WED,9Y2.Ph,B3,5,0,*, ,1355  1510, , 
1,A,THU,10CS,G4,1,housekeeping, ,briefing,0850  0955, , 
1,A,THU,10CS,G4,2,introduction to GCSE computer science,*, ,0955  1100, , 
1,A,THU,PPA,-,3,..., , ,1100  1220, , 
1,A,THU,9Y1.CS,B8,4,binary and denary conversions,*, ,1220  1355, ,12:20
1,A,THU,7Y1.CS,B8,5,logging on to O365 and Go4,*, ,1355  1510, , 
1,A,FRI,7X2.Ph,B6,1,Y7 Forces 1, , ,0850  0955, , 
1,A,FRI,10T2,B8,2,introduction to gcse physics,*, ,0955  1100, , 
1,A,FRI,11C2,G4,3,seneca assignment revising electrical circuits, , ,1100  1220,11:40, 
1,A,FRI,11CS,G4,4,outline mock preparations,*, ,1220  1355, ,13:25
1,A,FRI,11CS,G4,5,mock preparation - bridging the gap, , ,1355  1510, , 
2,B,MON,10C3,B8,1,CP1a Vectors and scalars, ,briefing,0850  0955, , 
